"","x"
"1",""
"2","Market Research|Marketing|Crowdfunding"
"3","Analytics|Cloud Computing|Software Development"
"4","Mobile|Analytics"
"5","Analytics|Marketing|Enterprise Software"
"6","Food & Beverages|Hospitality"
"7","Analytics"
"8","Cloud Computing|Network / Hosting / Infrastructure"
"9","Analytics|Mobile|Marketing"
"10","Healthcare|Pharmaceuticals|Analytics"
"11","Analytics|Enterprise Software"
"12",""
"13","Media|Finance|Marketing"
"14","Music|Analytics"
"15","E-Commerce|Gaming|Analytics"
"16","Healthcare|Analytics"
"17","Analytics"
"18","Marketing"
"19",""
"20","Advertising|Retail|Mobile"
"21","Marketing"
"22",""
"23","Analytics"
"24",""
"25","Mobile|Retail"
"26","Analytics"
"27","Analytics|Finance"
"28",""
"29","Analytics"
"30","Software Development"
"31","Marketing|Software Development|Analytics"
"32","Security"
"33","Analytics"
"34","Advertising"
"35",""
"36","Marketing|Email"
"37","Analytics|Security|Network / Hosting / Infrastructure"
"38","Human Resources (HR)|Marketing|Career / Job Search"
"39","Cloud Computing|Healthcare|E-Commerce"
"40","Media|Analytics|Publishing|Mobile|Education"
"41","E-Commerce|Energy|Media"
"42","Media|Analytics"
"43",""
"44",""
"45",""
"46",""
"47","Analytics|Enterprise Software"
"48",""
"49","Analytics"
"50",""
"51","E-Commerce|Analytics"
"52","E-Commerce|Advertising|Analytics"
"53","Enterprise Software"
"54",""
"55",""
"56","Cloud Computing"
"57","Advertising|Marketing|Analytics"
"58","Analytics|Advertising|Cloud Computing|Marketing"
"59",""
"60","Analytics|Network / Hosting / Infrastructure"
"61","Finance"
"62","Mobile|Analytics"
"63","E-Commerce|Marketing"
"64","Education|E-Commerce|Mobile"
"65",""
"66",""
"67","E-Commerce|Retail|Marketing|Mobile|Advertising|Deals"
"68","Analytics|Market Research|Mobile"
"69","Advertising|Mobile|Analytics"
"70","Analytics"
"71","Media|Analytics|Entertainment"
"72","Analytics|Retail|Mobile"
"73","Analytics|Cloud Computing"
"74","Analytics"
"75","Transportation|Analytics"
"76","Analytics|Publishing|Mobile"
"77","Analytics|Mobile"
"78","Human Resources (HR)|Enterprise Software|Career / Job Search|Social Networking|Analytics"
"79","Analytics|Marketing"
"80","Analytics"
"81","Analytics|Marketing"
"82","Analytics"
"83","E-Commerce|Analytics"
"84","Media|Marketing|Analytics"
"85","Analytics|Marketing"
"86","Analytics|Food & Beverages|Social Networking|Mobile"
"87","E-Commerce|Analytics|Advertising|Mobile"
"88","Media|Advertising|Analytics|Marketing"
"89","Analytics"
"90","E-Commerce|Retail|Analytics"
"91","Social Networking"
"92","Healthcare"
"93","E-Commerce|Mobile"
"94","Healthcare"
"95","Analytics"
"96","Enterprise Software"
"97",""
"98","Real Estate"
"99",""
"100","E-Commerce"
"101",""
"102","Analytics"
"103","Analytics"
"104","Analytics"
"105","Analytics|Marketing"
"106","Mobile|Advertising|Social Networking|Marketing|E-Commerce|Analytics|Enterprise Software"
"107","Network / Hosting / Infrastructure|Food & Beverages|Analytics"
"108","Analytics|E-Commerce|Marketing"
"109","Retail"
"110","Market Research"
"111","Analytics"
"112",""
"113",""
"114","Retail|Mobile"
"115","Mobile|Marketing"
"116",""
"117","Analytics|Marketing"
"118","Network / Hosting / Infrastructure"
"119","Enterprise Software"
"120","Real Estate|Mobile|E-Commerce"
"121","Media|Entertainment|Analytics|Network / Hosting / Infrastructure|Publishing"
"122","E-Commerce|Email|Analytics|Marketing"
"123","Analytics|Crowdfunding|Search|Marketing"
"124","Analytics|Healthcare"
"125","Network / Hosting / Infrastructure|Enterprise Software|Software Development|Analytics"
"126",""
"127","Marketing"
"128",""
"129","Market Research"
"130","Healthcare"
"131","Analytics|Mobile|Marketing"
"132","Marketing"
"133","Analytics|Telecommunications"
"134","Marketing"
"135","Marketing|Enterprise Software|Analytics"
"136",""
"137","Network / Hosting / Infrastructure"
"138","Media"
"139",""
"140","E-Commerce"
"141",""
"142","Mobile"
"143","E-Commerce|Food & Beverages|Mobile"
"144","Mobile"
"145","Education"
"146","Social Networking|Mobile"
"147","Entertainment|Media|Mobile"
"148",""
"149",""
"150","Search"
"151","Media"
"152","Advertising|Gaming|Marketing"
"153",""
"154",""
"155",""
"156",""
"157","Analytics"
"158",""
"159",""
"160",""
"161","Analytics|Enterprise Software"
"162","Analytics|Finance"
"163","Analytics|Insurance"
"164",""
"165","E-Commerce|Retail|Mobile"
"166","Gaming|CleanTech|Social Networking|Energy"
"167","Analytics"
"168","Advertising|Media|Mobile|Marketing"
"169",""
"170",""
"171","Analytics|Software Development|Marketing"
"172","Space Travel"
"173","Analytics"
"174",""
"175","Search|Enterprise Software|Mobile"
"176",""
"177","Analytics|Marketing|Software Development"
"178",""
"179","Analytics|Security|Enterprise Software"
"180","Media|Publishing"
"181","Analytics|Social Networking|Email"
"182","Media|Analytics|Marketing"
"183",""
"184","E-Commerce|Finance"
"185","Mobile|Analytics"
"186","Marketing"
"187","Analytics|Energy"
"188","CleanTech|Analytics|Energy"
"189",""
"190","Analytics"
"191",""
"192","Advertising|Marketing|Analytics"
"193",""
"194","Enterprise Software"
"195","Retail|Analytics"
"196","Analytics"
"197","Analytics|Enterprise Software|Cloud Computing|Software Development"
"198","Marketing|Analytics"
"199","Analytics"
"200","Analytics"
"201",""
"202","Analytics|Enterprise Software"
"203",""
"204","Advertising|Market Research"
"205","Software Development"
"206","Enterprise Software|Software Development"
"207","Energy"
"208","Analytics"
"209","CleanTech|Analytics|Real Estate|Energy"
"210","Security|Cloud Computing"
"211","CleanTech|Energy"
"212",""
"213","E-Commerce"
"214","Analytics"
"215","Advertising|Retail|Mobile"
"216","E-Commerce|Enterprise Software|Analytics"
"217",""
"218",""
"219","Analytics"
"220","E-Commerce|Analytics|Mobile|Retail"
"221",""
"222","Analytics"
"223","Entertainment"
"224",""
"225","Music"
"226","Analytics|E-Commerce"
"227","Mobile"
"228","Finance"
"229",""
"230","Analytics|Enterprise Software"
"231","Analytics|Marketing"
"232","Network / Hosting / Infrastructure|Analytics"
"233",""
"234",""
"235","E-Commerce|Publishing|Marketing"
"236",""
"237",""
"238","Analytics|Marketing"
"239","E-Commerce|Market Research|Analytics|Deals|Finance"
"240","Marketing"
"241",""
"242","Cloud Computing|Energy"
"243","Network / Hosting / Infrastructure|Enterprise Software"
"244","Security"
"245","Mobile|Analytics"
"246","Education"
"247","Career / Job Search"
"248","Advertising|Analytics"
"249","Analytics"
"250","Analytics"
"251","Analytics|Marketing"
"252","Analytics"
"253","Analytics|Retail|Mobile|Enterprise Software|Market Research"
"254","Cloud Computing|E-Commerce|Analytics"
"255","Analytics"
"256","Analytics|Retail"
"257","Media|Analytics|Entertainment"
"258","Analytics|E-Commerce"
"259","Analytics"
"260","Analytics|Marketing"
"261","Analytics"
"262","Analytics"
"263","E-Commerce"
"264","Search|Social Networking"
"265","Telecommunications"
"266","Publishing"
"267",""
"268","Advertising"
"269",""
"270","Network / Hosting / Infrastructure|Publishing"
"271",""
"272","Mobile"
"273","Classifieds|Network / Hosting / Infrastructure"
"274","Media|Advertising|E-Commerce"
"275",""
"276",""
"277",""
"278","Software Development"
"279","Search|Healthcare"
"280",""
"281","Mobile|Telecommunications"
"282","Entertainment"
"283","E-Commerce"
"284","Cloud Computing|E-Commerce|Classifieds"
"285","Gaming|Entertainment"
"286","Marketing"
"287",""
"288",""
"289","Food & Beverages"
"290",""
"291",""
"292","Marketing|Mobile|E-Commerce"
"293","Mobile|Cloud Computing|Enterprise Software"
"294","Software Development"
"295",""
"296",""
"297","Music|Media|Software Development"
"298","Analytics|Advertising"
"299","E-Commerce|Analytics|Advertising|Enterprise Software"
"300","Cloud Computing|Analytics"
"301","Travel|Deals|Analytics|Hospitality"
"302","Media|E-Commerce|Analytics|Entertainment"
"303","E-Commerce|Analytics|Network / Hosting / Infrastructure"
"304","Analytics|Advertising|Marketing|Entertainment|Media|Mobile"
"305","Analytics|Advertising|Mobile"
"306","Analytics|Mobile|Media|Enterprise Software"
"307","Marketing|Media|Analytics|Advertising"
"308","E-Commerce|Analytics|Marketing"
"309","Analytics|Search|Hospitality"
"310","Advertising|Social Networking|Analytics|Gaming"
"311","Cloud Computing|Social Networking|Analytics"
"312","Analytics|Mobile|Enterprise Software|Software Development"
"313","Analytics"
"314","Analytics|Government"
"315","Analytics"
"316","Analytics"
"317","Music|Search|Analytics"
"318","Analytics"
"319","Analytics|Entertainment"
"320","Analytics"
"321","Advertising|Analytics"
"322","Analytics"
"323","Education|Analytics|Finance|Social Networking"
"324","Analytics|Marketing"
"325","Analytics|Marketing"
"326","Security|Analytics"
"327","Analytics|Marketing"
"328","Advertising|E-Commerce|Analytics|Marketing"
"329","Analytics"
"330","Analytics|Marketing"
"331","Analytics"
"332","Analytics"
"333","Analytics|Enterprise Software"
"334","Advertising|Entertainment|Media|Analytics"
"335","Analytics|Email|Software Development"
"336","Analytics"
"337","Analytics"
"338","Software Development|Analytics"
"339","Analytics|Mobile"
"340","Analytics|Social Networking|Network / Hosting / Infrastructure"
"341","Analytics|Marketing"
"342","E-Commerce|Analytics"
"343","Analytics|Software Development"
"344","Analytics|Telecommunications"
"345","E-Commerce|Food & Beverages|Mobile"
"346",""
"347",""
"348","Human Resources (HR)|Career / Job Search"
"349",""
"350","E-Commerce|Retail"
"351","Analytics"
"352","Analytics"
"353","Analytics"
"354","Analytics"
"355","Mobile|Analytics"
"356","Analytics|Enterprise Software"
"357","Analytics|Advertising"
"358","Human Resources (HR)|Enterprise Software|Career / Job Search|Social Networking|Analytics"
"359","Analytics"
"360","Advertising|Retail|Analytics"
"361","Analytics"
"362","Search|Analytics"
"363","Analytics|Hospitality|Mobile|Enterprise Software"
"364","E-Commerce|Analytics"
"365","Marketing|E-Commerce|Analytics|Mobile|Advertising"
"366","E-Commerce|Analytics"
"367","E-Commerce|Analytics|Social Networking|Marketing"
"368","Network / Hosting / Infrastructure|Publishing"
"369","Analytics|Marketing"
"370","Analytics|Social Networking|Network / Hosting / Infrastructure"
"371","Cloud Computing|Analytics"
"372","Media|Analytics"
"373",""
"374",""
"375","Energy"
"376",""
"377","Cloud Computing|Media"
"378","Entertainment|Media"
"379",""
"380",""
"381","CleanTech|Energy"
"382","Healthcare|Analytics|Mobile|Food & Beverages"
"383","Healthcare|Market Research|Mobile"
"384","Human Resources (HR)|Analytics|Marketing|Career / Job Search"
"385",""
"386","Healthcare"
"387",""
"388","Software Development|Analytics"
"389","Media"
"390","Analytics"
"391",""
"392","energy|analytics"
"393","Education"
"394","Search"
"395",""
"396","Advertising"
"397","Advertising|Mobile|Marketing"
"398","Email"
"399","Advertising|Marketing|Search"
"400","Advertising|Marketing"
"401",""
"402",""
"403","Advertising|Marketing"
"404",""
"405",""
"406",""
"407",""
"408",""
"409",""
"410","Music|Mobile"
"411","Social Networking|Music|Entertainment|Media"
"412",""
"413",""
"414",""
"415","Network / Hosting / Infrastructure|Telecommunications|Enterprise Software"
"416",""
"417","Cloud Computing"
"418","Email|Marketing"
"419","Cloud Computing|E-Commerce"
"420","Mobile"
"421",""
"422","Network / Hosting / Infrastructure|Marketing"
"423",""
"424",""
"425","Advertising|Analytics"
"426","E-Commerce|Food & Beverages"
"427","E-Commerce"
"428",""
"429",""
"430","Social Networking"
"431",""
"432","Social Networking"
"433","Telecommunications"
"434",""
"435","Music"
"436","E-Commerce"
"437","Search"
"438",""
"439","Gaming|Entertainment|Mobile"
"440",""
"441",""
"442",""
"443","E-Commerce"
"444","Email|Software Development"
"445",""
"446",""
"447",""
"448",""
"449","Advertising"
"450",""
"451","Energy"
"452",""
"453",""
"454","Gaming"
"455",""
"456",""
"457","Cloud Computing"
"458",""
"459","Transportation"
"460","Human Resources (HR)|Career / Job Search"
"461","E-Commerce|Network / Hosting / Infrastructure"
"462",""
"463",""
"464",""
"465","Music"
"466","Entertainment|Media"
"467",""
"468","E-Commerce"
"469",""
"470","Analytics|E-Commerce"
"471","Analytics|Marketing"
"472","Analytics|Healthcare"
